timestamp,human_readable_date,humidity,soil,tempf,voltage
1556729761430,2019-05-01 12:56:01-04:00,-5.0,2654.0,-5.0,4.214612
1556729695515,2019-05-01 12:54:55-04:00,-5.0,2655.0,-5.0,4.21349
1556729629379,2019-05-01 12:53:49-04:00,-5.0,2639.0,-5.0,4.215734
1556729563295,2019-05-01 12:52:43-04:00,-5.0,2637.0,-5.0,4.201143
1556729497341,2019-05-01 12:51:37-04:00,-5.0,2640.0,-5.0,4.212367
1556729431223,2019-05-01 12:50:31-04:00,-5.0,2644.0,-5.0,4.220224
1556729365420,2019-05-01 12:49:25-04:00,-5.0,2648.0,-5.0,4.206755
1556729299306,2019-05-01 12:48:19-04:00,-5.0,2641.0,-5.0,4.220224
1556729233275,2019-05-01 12:47:13-04:00,-5.0,2641.0,-5.0,4.209
1556729167314,2019-05-01 12:46:07-04:00,-5.0,2631.0,-5.0,4.212367
1556729101321,2019-05-01 12:45:01-04:00,-5.0,2643.0,-5.0,4.215734
1556729035337,2019-05-01 12:43:55-04:00,-5.0,2640.0,-5.0,4.217979
1556728969233,2019-05-01 12:42:49-04:00,-5.0,2631.0,-5.0,4.215734
1556728903318,2019-05-01 12:41:43-04:00,-5.0,2646.0,-5.0,4.191041
1556728837354,2019-05-01 12:40:37-04:00,-5.0,2631.0,-5.0,4.210123
1556728771321,2019-05-01 12:39:31-04:00,-5.0,2636.0,-5.0,4.206755
1556728705425,2019-05-01 12:38:25-04:00,-5.0,2644.0,-5.0,4.205633
1556728639443,2019-05-01 12:37:19-04:00,-5.0,2636.0,-5.0,4.206755
1556728573355,2019-05-01 12:36:13-04:00,-5.0,2630.0,-5.0,4.206755
1556728507495,2019-05-01 12:35:07-04:00,-5.0,2627.0,-5.0,4.211245
1556728441270,2019-05-01 12:34:01-04:00,-5.0,2634.0,-5.0,4.201143
1556728375409,2019-05-01 12:32:55-04:00,-5.0,2634.0,-5.0,4.206755
1556728309312,2019-05-01 12:31:49-04:00,-5.0,2643.0,-5.0,4.219101
1556728243460,2019-05-01 12:30:43-04:00,-5.0,2640.0,-5.0,4.20451
1556728177215,2019-05-01 12:29:37-04:00,-5.0,2637.0,-5.0,4.210123
1556728111270,2019-05-01 12:28:31-04:00,-5.0,2630.0,-5.0,4.211245
1556728045280,2019-05-01 12:27:25-04:00,-5.0,2640.0,-5.0,4.205633
1556727979208,2019-05-01 12:26:19-04:00,-5.0,2641.0,-5.0,4.220224
1556727913297,2019-05-01 12:25:13-04:00,-5.0,2624.0,-5.0,4.214612
1556727847284,2019-05-01 12:24:07-04:00,-5.0,2645.0,-5.0,4.214612
1556727781229,2019-05-01 12:23:01-04:00,-5.0,2638.0,-5.0,4.210123
1556727715277,2019-05-01 12:21:55-04:00,-5.0,2644.0,-5.0,4.205633
1556727649350,2019-05-01 12:20:49-04:00,-5.0,2648.0,-5.0,4.212367
1556727583231,2019-05-01 12:19:43-04:00,-5.0,2639.0,-5.0,4.212367
1556727517245,2019-05-01 12:18:37-04:00,-5.0,2633.0,-5.0,4.205633
1556727451183,2019-05-01 12:17:31-04:00,-5.0,2640.0,-5.0,4.203388
1556727385340,2019-05-01 12:16:25-04:00,-5.0,2633.0,-5.0,4.201143
1556727319233,2019-05-01 12:15:19-04:00,-5.0,2648.0,-5.0,4.210123
1556727253359,2019-05-01 12:14:13-04:00,-5.0,2641.0,-5.0,4.209
1556727187375,2019-05-01 12:13:07-04:00,-5.0,2645.0,-5.0,4.205633
1556727121297,2019-05-01 12:12:01-04:00,-5.0,2639.0,-5.0,4.20451
1556727055129,2019-05-01 12:10:55-04:00,-5.0,2639.0,-5.0,4.205633
1556726989201,2019-05-01 12:09:49-04:00,-5.0,2639.0,-5.0,4.211245
1556726923143,2019-05-01 12:08:43-04:00,-5.0,2638.0,-5.0,4.216857
1556726857313,2019-05-01 12:07:37-04:00,-5.0,2648.0,-5.0,4.214612
1556726791263,2019-05-01 12:06:31-04:00,-5.0,2649.0,-5.0,4.212367
1556726725240,2019-05-01 12:05:25-04:00,-5.0,2639.0,-5.0,4.219101
1556726659349,2019-05-01 12:04:19-04:00,-5.0,2640.0,-5.0,4.217979
1556726593165,2019-05-01 12:03:13-04:00,-5.0,2644.0,-5.0,4.207878
1556726527173,2019-05-01 12:02:07-04:00,-5.0,2640.0,-5.0,4.205633
1556726461100,2019-05-01 12:01:01-04:00,-5.0,2645.0,-5.0,4.210123
1556726395140,2019-05-01 11:59:55-04:00,-5.0,2639.0,-5.0,4.205633
1556726329103,2019-05-01 11:58:49-04:00,-5.0,2633.0,-5.0,4.210123
1556726263124,2019-05-01 11:57:43-04:00,-5.0,2635.0,-5.0,4.214612
1556726197279,2019-05-01 11:56:37-04:00,-5.0,2636.0,-5.0,4.214612
1556726131248,2019-05-01 11:55:31-04:00,-5.0,2642.0,-5.0,4.214612
1556726065216,2019-05-01 11:54:25-04:00,-5.0,2637.0,-5.0,4.21349
1556725999097,2019-05-01 11:53:19-04:00,-5.0,2633.0,-5.0,4.214612
1556725933277,2019-05-01 11:52:13-04:00,-5.0,2649.0,-5.0,4.221346
1556725867168,2019-05-01 11:51:07-04:00,-5.0,2643.0,-5.0,4.216857
1556725801155,2019-05-01 11:50:01-04:00,-5.0,2641.0,-5.0,4.219101
1556725735109,2019-05-01 11:48:55-04:00,-5.0,2623.0,-5.0,4.214612
1556725669209,2019-05-01 11:47:49-04:00,-5.0,2630.0,-5.0,4.210123
1556725603259,2019-05-01 11:46:43-04:00,-5.0,2631.0,-5.0,4.220224
1556725538096,2019-05-01 11:45:38-04:00,-5.0,2641.0,-5.0,4.220224
1556725471065,2019-05-01 11:44:31-04:00,-5.0,2631.0,-5.0,4.211245
1556725405091,2019-05-01 11:43:25-04:00,-5.0,2639.0,-5.0,4.203388
1556725339080,2019-05-01 11:42:19-04:00,-5.0,2621.0,-5.0,4.194409
1556725273029,2019-05-01 11:41:13-04:00,-5.0,2632.0,-5.0,4.214612
1556725207849,2019-05-01 11:40:07-04:00,-5.0,2636.0,-5.0,4.211245
1556725141107,2019-05-01 11:39:01-04:00,-5.0,2631.0,-5.0,4.220224
1556725075087,2019-05-01 11:37:55-04:00,-5.0,2622.0,-5.0,4.217979
1556725008999,2019-05-01 11:36:48-04:00,-5.0,2643.0,-5.0,4.211245
1556724943319,2019-05-01 11:35:43-04:00,-5.0,2628.0,-5.0,4.210123
1556724877168,2019-05-01 11:34:37-04:00,-5.0,2633.0,-5.0,4.210123
1556724810972,2019-05-01 11:33:30-04:00,-5.0,2621.0,-5.0,4.203388
1556724745042,2019-05-01 11:32:25-04:00,-5.0,2632.0,-5.0,4.209
1556724679403,2019-05-01 11:31:19-04:00,-5.0,2628.0,-5.0,4.215734
1556724613166,2019-05-01 11:30:13-04:00,-5.0,2639.0,-5.0,4.215734
1556724547127,2019-05-01 11:29:07-04:00,-5.0,2629.0,-5.0,4.200021
