observation,soil
1521,2376
1522,2392
1523,2384
1524,2376
1525,2386
1526,2384
1527,2373
1528,2383
1529,2387
1530,2384
1531,2372
1532,2392
1533,2380
1534,2383
1535,2374
1536,2392
1537,2387
1538,2385
1539,2393
1540,2375
1541,2388
1542,2384
1543,2380
1544,2389
1545,2379
1546,2383
1547,2375
1548,2384
1549,2385
1550,2384
1551,2379
1552,2389
1553,2387
1554,2377
1555,2380
1556,2378
1557,2383
1558,2385
1559,2385
1560,2382
1561,2388
1562,2378
1563,2387
1564,2363
1565,2369
1566,2381
1567,2385
1568,2375
1569,2375
1570,2375
1571,2371
1572,2383
1573,2380
1574,2401
1575,2379
1576,2375
1577,2375
1578,2376
1579,2377
1580,2369
1581,2387
1582,2376
1583,2379
1584,2382
1585,2378
1586,2380
1587,2378
1588,2378
1589,2371
1590,2378
1591,2378
1592,2371
1593,2382
1594,2370
1595,2384
1596,2376
1597,2382
1598,2382
1599,2381
1600,2381
1601,2374
1602,2373
1603,2386
1604,2381
1605,2377
1606,2371
1607,2393
1608,2381
1609,2378
1610,2388
1611,2376
1612,2366
1613,2365
1614,2377
1615,2372
1616,2376
1617,2372
1618,2377
1619,2378
1620,2378
1621,2376
1622,2377
1623,2382
1624,2377
1625,2368
1626,2383
1627,2372
1628,2374
1629,2386
1630,2369
1631,2378
1632,2369
1633,2375
1634,2378
1635,2380
1636,2378
1637,2384
1638,2384
1639,2371
1640,2368
1641,2378
1642,2373
1643,2392
1644,2376
1645,2367
1646,2372
1647,2368
1648,2377
1649,2376
1650,2362
1651,2379
1652,2373
1653,2368
1654,2367
1655,2368
1656,2379
1657,2388
1658,2384
1659,2373
1660,2376
1661,2374
1662,2372
1663,2374
1664,2366
1665,2369
1666,2369
1667,2369
1668,2376
1669,2371
1670,2371
1671,2383
1672,2375
1673,2370
1674,2369
1675,2370
1676,2388
1677,2374
1678,2369
1679,2378
1680,2382
1681,2382
1682,2371
1683,2368
1684,2383
1685,2376
1686,2364
1687,2368
1688,2369
1689,2367
1690,2365
1691,2371
1692,2371
1693,2372
1694,2380
1695,2364
1696,2369
1697,2374
1698,2363
1699,2371
1700,2380
1701,2377
1702,2367
1703,2367
1704,2356
1705,2370
1706,2370
1707,2358
1708,2372
1709,2370
1710,2375
1711,2379
1712,2379
1713,2376
1714,2371
1715,2367
1716,2367
1717,2364
1718,2364
1719,2361
1720,2361
1721,2369
1722,2375
1723,2374
1724,2374
1725,2360
1726,2373
1727,2369
1728,2361
1729,2360
1730,2373
1731,2365
1732,2373
1733,2360
1734,2370
1735,2370
1736,2372
1737,2375
1738,2363
1739,2370
1740,2362
1741,2379
1742,2385
1743,2367
1744,2376
1745,2367
1746,2371
1747,2360
1748,2386
1749,2369
1750,2372
1751,2376
1752,2376
1753,2359
1754,2358
1755,2368
1756,2377
1757,2366
1758,2372
1759,2367
1760,2369
1761,2374
1762,2380
1763,2376
1764,2376
1765,2372
1766,2371
1767,2371
1768,2367
1769,2364
1770,2368
1771,2355
1772,2359
1773,2365
1774,2365
1775,2368
1776,2351
1777,2368
1778,2380
1779,2376
1780,2376
1781,2376
1782,2364
1783,2359
1784,2363
1785,2368
1786,2376
1787,2364
1788,2368
1789,2368
1790,2350
1791,2363
1792,2363
1793,2363
1794,2364
1795,2357
1796,2370
1797,2359
1798,2354
1799,2368
1800,2377
1801,2371
1802,2371
1803,2364
1804,2364
1805,2369
1806,2356
1807,2363
1808,2358
1809,2367
1810,2354
1811,2366
1812,2366
1813,2362
1814,2358
1815,2367
1816,2370
1817,2368
1818,2356
1819,2351
1820,2360
1821,2367
1822,2352
1823,2367
1824,2369
1825,2353
1826,2367
1827,2366
1828,2359
1829,2368
1830,2368
1831,2356
1832,2364
1833,2361
1834,2365
1835,2355
1836,2364
1837,2362
1838,2360
1839,2359
1840,2360
1841,2352
1842,2360
1843,2367
1844,2366
1845,2368
1846,2361
1847,2374
1848,2357
1849,2359
1850,2359
1851,2349
1852,2349
1853,2369
1854,2369
1855,2356
1856,2356
1857,2352
1858,2361
1859,2364
1860,2373
1861,2366
1862,2350
1863,2363
1864,2367
1865,2367
1866,2374
1867,2360
1868,2366
1869,2352
1870,2345
1871,2345
1872,2368
1873,2366
1874,2366
1875,2356
1876,2356
1877,2348
1878,2347
1879,2347
1880,2357
1881,2368
1882,2352
1883,2376
1884,2360
1885,2356
1886,2350
1887,2360
1888,2358
1889,2360
1890,2356
1891,2353
1892,2373
1893,2367
1894,2358
1895,2349
1896,2368
1897,2359
1898,2359
1899,2345
1900,2356
1901,2359
1902,2374
1903,2356
1904,2360
1905,2358
1906,2358
1907,2352
1908,2367
1909,2355
1910,2355
1911,2362
1912,2362
1913,2348
1914,2364
1915,2363
1916,2354
1917,2357
1918,2362
1919,2358
1920,2359
1921,2358
1922,2358
1923,2358
1924,2359
1925,2351
1926,2360
1927,2343
1928,2353
1929,2356
1930,2358
1931,2353
1932,2356
1933,2348
1934,2351
1935,2349
1936,2357
1937,2360
1938,2353
1939,2369
1940,2360
1941,2360
1942,2360
1943,2357
1944,2348
1945,2358
1946,2344
1947,2349
1948,2360
1949,2360
1950,2360
1951,2354
1952,2354
1953,2349
1954,2357
1955,2355
1956,2348
1957,2345
1958,2337
1959,2356
1960,2368
1961,2342
1962,2348
1963,2355
1964,2355
1965,2348
1966,2357
1967,2351
1968,2342
1969,2342
1970,2342
1971,2352
1972,2356
1973,2345
1974,2339
1975,2339
1976,2357
1977,2338
1978,2344
1979,2344
1980,2356
1981,2347
1982,2345
1983,2349
1984,2356
1985,2352
1986,2353
1987,2343
1988,2339
1989,2348
1990,2348
1991,2344
1992,2348
1993,2335
1994,2362
1995,2354
1996,2347
1997,2337
1998,2340
1999,2354
2000,2349
2001,2341
2002,2347
2003,2353
2004,2336
2005,2366
2006,2366
2007,2360
2008,2352
2009,2347
2010,2360
2011,2337
2012,2353
2013,2353
2014,2348
2015,2348
2016,2346
2017,2347
2018,2364
2019,2347
2020,2337
2021,2354
2022,2335
2023,2345
2024,2335
2025,2339
2026,2335
2027,2335
2028,2347
2029,2350
2030,2350
2031,2344
2032,2345
2033,2336
2034,2347
2035,2345
2036,2336
2037,2336
2038,2335
2039,2341
2040,2337
2041,2337
2042,2342
2043,2333
2044,2352
2045,2341
2046,2341
2047,2334
2048,2346
2049,2335
2050,2344
2051,2339
2052,2330
2053,2325
2054,2344
2055,2333
2056,2338
2057,2338
2058,2333
2059,2343
2060,2338
2061,2335
2062,2335
2063,2347
2064,2335
2065,2333
2066,2331
2067,2343
2068,2348
2069,2328
2070,2325
2071,2345
2072,2345
2073,2335
2074,2345
2075,2337
2076,2338
2077,2333
2078,2322
2079,2322
2080,2345
2081,2343
2082,2337
2083,2337
2084,2332
2085,2332
2086,2350
2087,2325
2088,2337
2089,2339
2090,2336
2091,2329
2092,2340
2093,2330
2094,2328
2095,2331
2096,2336
2097,2336
2098,2330
2099,2327
2100,2345
2101,2335
2102,2350
2103,2320
2104,2336
2105,2342
2106,2337
2107,2339
2108,2327
2109,2327
2110,2319
2111,2319
2112,2322
2113,2322
2114,2327
2115,2338
2116,2338
2117,2327
2118,2328
2119,2328
2120,2340
2121,2326
2122,2326
2123,2323
2124,2323
2125,2332
2126,2332
2127,2336
2128,2330
2129,2346
2130,2346
2131,2327
2132,2329
2133,2326
2134,2326
2135,2329
2136,2317
2137,2330
2138,2334
2139,2333
2140,2333
2141,2326
2142,2333
2143,2334
2144,2332
2145,2323
2146,2332
2147,2317
2148,2326
2149,2340
2150,2331
2151,2326
2152,2326
2153,2315
2154,2319
2155,2319
2156,2324
2157,2330
2158,2320
2159,2332
2160,2321
2161,2321
2162,2325
2163,2322
2164,2342
2165,2334
2166,2321
2167,2327
2168,2327
2169,2328
2170,2328
2171,2321
2172,2319
2173,2322
2174,2323
2175,2317
2176,2317
2177,2328
2178,2328
2179,2328
2180,2312
2181,2336
2182,2323
2183,2332
2184,2313
2185,2314
2186,2313
2187,2313
2188,2330
2189,2323
2190,2316
2191,2322
2192,2322
2193,2320
2194,2320
2195,2322
2196,2318
2197,2318
2198,2310
2199,2315
2200,2321
2201,2326
2202,2316
2203,2318
2204,2316
2205,2321
2206,2322
2207,2320
2208,2310
2209,2306
2210,2316
2211,2320
2212,2321
2213,2320
2214,2328
2215,2312
2216,2313
2217,2312
2218,2312
2219,2312
2220,2309
2221,2318
2222,2321
2223,2317
2224,2310
2225,2316
2226,2316
2227,2318
2228,2320
2229,2317
2230,2311
2231,2319
2232,2314
2233,2305
2234,2305
2235,2304
2236,2312
2237,2317
2238,2306
2239,2306
2240,2312
2241,2306
2242,2316
2243,2316
2244,2315
2245,2305
2246,2308
2247,2313
2248,2303
2249,2309
2250,2309
2251,2320
2252,2300
2253,2317
2254,2312
2255,2304
2256,2313
2257,2326
2258,2305
2259,2319
2260,2308
2261,2310
2262,2303
2263,2307
2264,2311
2265,2310
2266,2310
2267,2291
2268,2313
2269,2316
2270,2305
2271,2307
2272,2307
2273,2313
2274,2313
2275,2307
2276,2302
2277,2302
2278,2302
2279,2294
2280,2297
2281,2301
2282,2306
2283,2301
2284,2301
2285,2296
2286,2312
2287,2312
2288,2312
2289,2298
2290,2307
2291,2298
2292,2300
2293,2313
2294,2302
2295,2302
2296,2306
2297,2292
2298,2292
2299,2307
2300,2296
2301,2296
2302,2296
2303,2312
2304,2298
2305,2305
2306,2301
2307,2300
2308,2305
2309,2309
2310,2304
2311,2296
2312,2296
2313,2311
2314,2300
2315,2294
2316,2294
2317,2294
2318,2294
2319,2292
2320,2306
2321,2306
2322,2300
2323,2294
2324,2294
2325,2294
2326,2312
2327,2300
2328,2291
2329,2291
2330,2298
2331,2298
2332,2299
2333,2297
2334,2301
2335,2288
2336,2293
2337,2288
2338,2288
2339,2288
2340,2305
2341,2305
2342,2289
2343,2293
2344,2298
2345,2298
2346,2293
2347,2305
2348,2305
2349,2292
2350,2279
2351,2293
2352,2300
2353,2296
2354,2291
2355,2291
2356,2291
2357,2293
2358,2293
2359,2284
2360,2289
2361,2288
2362,2294
2363,2299
2364,2299
2365,2299
2366,2300
2367,2294
2368,2287
2369,2289
2370,2289
2371,2284
2372,2291
2373,2284
2374,2292
2375,2283
2376,2296
2377,2296
2378,2277
2379,2296
2380,2289
2381,2283
2382,2290
2383,2283
2384,2276
2385,2288
2386,2288
2387,2290
2388,2290
2389,2291
2390,2284
2391,2280
2392,2298
2393,2287
2394,2286
2395,2283
2396,2276
2397,2290
2398,2287
2399,2287
2400,2288
2401,2275
2402,2275
2403,2288
2404,2288
2405,2288
2406,2284
2407,2279
2408,2293
2409,2288
2410,2278
2411,2270
2412,2270
2413,2283
2414,2287
2415,2285
2416,2272
2417,2288
2418,2288
2419,2277
2420,2279
2421,2288
2422,2279
2423,2268
2424,2272
2425,2269
2426,2276
2427,2278
2428,2278
2429,2272
2430,2280
2431,2281
2432,2281
2433,2277
2434,2276
2435,2271
2436,2277
2437,2276
2438,2276
2439,2276
2440,2268
2441,2279
2442,2294
2443,2272
2444,2264
2445,2264
2446,2270
2447,2269
2448,2276
2449,2265
2450,2283
2451,2268
2452,2275
2453,2286
2454,2271
2455,2265
2456,2266
2457,2277
2458,2259
2459,2274
2460,2274
2461,2275
2462,2272
2463,2268
2464,2271
2465,2271
2466,2268
2467,2272
2468,2272
2469,2272
2470,2267
2471,2267
2472,2264
2473,2268
2474,2272
2475,2266
2476,2266
2477,2268
2478,2268
2479,2270
2480,2270
2481,2270
2482,2273
2483,2258
2484,2268
2485,2264
2486,2268
2487,2260
2488,2259
2489,2267
2490,2264
2491,2257
2492,2245
2493,2259
2494,2253
